# BANG PHI IUL — NLG — KY HAN 20 NAM — hai sheet NTBC (dot 1/2)
# Nguon: Google Sheet "1. Bang quote gia IUL 2025 - 20 NAM" (Drive chu tool gui 10/08/2026)
# Doc ngay 10/08/2026. Doi chieu forum: Nu/NTBC/35t/250k = $217.00 va 45t/250k = $357.00 -> KHOP.
#
# ☠️ CHU TOOL CHOT 10/08/2026: "so drive la chuan, em co the lam theo so drive".
#    => CHEP NGUYEN VAN, KHONG SUA O NAO, ke ca 6 o duoi day da xac dinh la BAT THUONG.
#    Chung cung dang chay tren forum (da do: o 700k tuoi 33 forum tra ve dung 577.20).
#
# SAU O PHA VO QUY LUAT (phi phai ti le thang voi menh gia) — GIU NGUYEN, DUNG "SUA CHO DEP":
#   20FN tuoi 33 / 700k : 577.20  (quy luat 557.20)
#   20FN tuoi 41 / 425k : 469.40  (quy luat 496.40 — nghi dao 496->469)
#   20MN tuoi 30 / 300k : 233.70  (quy luat 242.70)
#   20MN tuoi 36 / 700k : 735.20  (quy luat 753.20 — nghi dao 753->735)
#   20MN tuoi 39 / 225k : 297.22  (quy luat 279.22 — nghi dao 279->297)
#   20MN tuoi 59 / 225k : 730.25  (quy luat 830.25)
# Neu sep sua trong Drive thi lay lai file nay, DUNG tu sua o day.
#
# DINH DANG: <ma sheet>|<tuoi>|<gia tri theo thu tu menh gia>|<tong kiem tra>
#   tong kiem tra = tong tat ca gia tri (cent, lam tron), bo qua "-"
#   "-" = o trong trong sheet = hang KHONG BAN muc do. Tuyet doi khong noi suy.
#   Kiem lai bang: node scripts/doi-bang-phi.js
#MG 20FN=100000,125000,150000,175000,200000,225000,250000,275000,300000,325000,350000,375000,400000,425000,450000,475000,500000,525000,550000,575000,600000,625000,650000,675000,700000,725000,750000,775000,800000,825000,850000,875000,1000000
#MG 20MN=100000,125000,150000,175000,200000,225000,250000,275000,300000,325000,350000,375000,400000,425000,450000,475000,500000,525000,550000,575000,600000,625000,650000,675000,700000,725000,750000,775000,800000,900000,1000000
20FN|23|52.60,65.75,78.90,92.05,105.20,118.35,131.50,144.65,157.80,170.95,184.10,197.25,210.40,223.55,236.70,249.85,263.00,276.15,289.30,302.45,315.60,328.75,341.90,355.05,368.20,381.35,394.50,407.65,420.80,433.95,447.10,460.25,526.00|873160
20FN|24|54.30,67.87,81.45,95.02,108.60,122.17,135.75,149.32,162.90,176.47,190.05,203.62,217.20,230.77,244.35,257.92,271.50,285.07,298.65,312.22,325.80,339.37,352.95,366.52,380.10,393.67,407.25,420.82,434.40,447.97,461.55,475.12,543.00|901372
20FN|25|56.00,70.00,84.00,98.00,112.00,126.00,140.00,154.00,168.00,182.00,196.00,210.00,224.00,238.00,252.00,266.00,280.00,294.00,308.00,322.00,336.00,350.00,364.00,378.00,392.00,406.00,420.00,434.00,448.00,462.00,476.00,490.00,560.00|929600
20FN|26|58.60,73.25,87.90,102.55,117.20,131.85,146.50,161.15,175.80,190.45,205.10,219.75,234.40,249.05,263.70,278.35,293.00,307.65,322.30,336.95,351.60,366.25,380.90,395.55,410.20,424.85,439.50,454.15,468.80,483.45,498.10,512.75,586.00|972760
20FN|27|61.10,76.37,91.65,106.92,122.20,137.47,152.75,168.02,183.30,198.57,213.85,229.12,244.40,259.67,274.95,290.22,305.50,320.77,336.05,351.32,366.60,381.87,397.15,412.42,427.70,442.97,458.25,473.52,488.80,504.07,519.35,534.62,611.00|1014252
20FN|28|63.70,79.62,95.55,111.47,127.40,143.32,159.25,175.17,191.10,207.02,222.95,238.87,254.80,270.72,286.65,302.57,318.50,334.42,350.35,366.27,382.20,398.12,414.05,429.97,445.90,461.82,477.75,493.67,509.60,525.52,541.45,557.37,637.00|1057412
20FN|29|66.20,82.75,99.30,115.85,132.40,148.95,165.50,182.05,198.60,215.15,231.70,248.25,264.80,281.35,297.90,314.45,331.00,347.55,364.10,380.65,397.20,413.75,430.30,446.85,463.40,479.95,496.50,513.05,529.60,546.15,562.70,579.25,662.00|1098920
20FN|30|68.70,85.87,103.05,120.22,137.40,154.57,171.75,188.92,206.10,223.27,240.45,257.62,274.80,291.97,309.15,326.32,343.50,360.67,377.85,395.02,412.20,429.37,446.55,463.72,480.90,498.07,515.25,532.42,549.60,566.77,583.95,601.12,687.00|1140412
20FN|31|72.40,90.50,108.60,126.70,144.80,162.90,181.00,199.10,217.20,235.30,253.40,271.50,289.60,307.70,325.80,343.90,362.00,380.10,398.20,416.30,434.40,452.50,470.60,488.70,506.80,524.90,543.00,561.10,579.20,597.30,615.40,633.50,724.00|1201840
20FN|32|76.00,95.00,114.00,133.00,152.00,171.00,190.00,209.00,228.00,247.00,266.00,285.00,304.00,323.00,342.00,361.00,380.00,399.00,418.00,437.00,456.00,475.00,494.00,513.00,532.00,551.00,570.00,589.00,608.00,627.00,646.00,665.00,760.00|1261600
20FN|33|79.60,99.50,119.40,139.30,159.20,179.10,199.00,218.90,238.80,258.70,278.60,298.50,318.40,338.30,358.20,378.10,398.00,417.90,437.80,457.70,477.60,497.50,517.40,537.30,577.20,577.10,597.00,616.90,636.80,656.70,676.60,696.50,796.00|1323360
20FN|34|83.20,104.00,124.80,145.60,166.40,187.20,208.00,228.80,249.60,270.40,291.20,312.00,332.80,353.60,374.40,395.20,416.00,436.80,457.60,478.40,499.20,520.00,540.80,561.60,582.40,603.20,624.00,644.80,665.60,686.40,707.20,728.00,832.00|1381120
20FN|35|86.80,108.50,130.20,151.90,173.60,195.30,217.00,238.70,260.40,282.10,303.80,325.50,347.20,368.90,390.60,412.30,434.00,455.70,477.40,499.10,520.80,542.50,564.20,585.90,607.60,629.30,651.00,672.70,694.40,716.10,737.80,759.50,868.00|1440880
20FN|36|91.50,114.37,137.25,160.12,183.00,205.87,228.75,251.62,274.50,297.37,320.25,343.12,366.00,388.87,411.75,434.62,457.50,480.37,503.25,526.12,549.00,571.87,594.75,617.62,640.50,663.37,686.25,709.12,732.00,754.87,777.75,800.62,915.00|1518892
20FN|37|96.20,120.25,144.30,168.35,192.40,216.45,240.50,264.55,288.60,312.65,336.70,360.75,384.80,408.85,432.90,456.95,481.00,505.05,529.10,553.15,577.20,601.25,625.30,649.35,673.40,697.45,721.50,745.55,769.60,793.65,817.70,841.75,962.00|1596920
20FN|38|100.90,126.12,151.35,176.57,201.80,227.02,252.25,277.47,302.70,327.92,353.15,378.37,403.60,428.82,454.05,479.27,504.50,529.72,554.95,580.17,605.40,630.62,655.85,681.07,706.30,731.52,756.75,781.97,807.20,832.42,857.65,882.87,1009.00|1674932
20FN|39|105.60,132.00,158.40,184.80,211.20,237.60,264.00,290.40,316.80,343.20,369.60,396.00,422.40,448.80,475.20,501.60,528.00,554.40,580.80,607.20,633.60,660.00,686.40,712.80,739.20,765.60,792.00,818.40,844.80,871.20,897.60,924.00,1056.00|1752960
20FN|40|110.30,137.87,165.45,193.02,220.60,248.17,275.75,303.32,330.90,358.47,386.05,413.62,441.20,468.77,496.35,523.92,551.50,579.07,606.65,634.22,661.80,689.37,716.95,744.52,772.10,799.67,827.25,854.82,882.40,909.97,937.55,965.12,1103.00|1830972
20FN|41|116.80,146.00,175.20,204.40,233.60,262.80,292.00,321.20,350.40,379.60,408.80,438.00,467.20,469.40,525.60,554.80,584.00,613.20,642.40,671.60,700.80,730.00,759.20,788.40,817.60,846.80,876.00,905.20,934.40,963.60,992.80,1022.00,1168.00|1936180
20FN|42|123.30,154.12,184.95,215.77,246.60,277.42,308.25,339.07,369.90,400.72,431.55,462.37,493.20,524.02,554.85,585.67,616.50,647.32,678.15,708.97,739.80,770.62,801.45,832.27,863.10,893.92,924.75,955.57,986.40,1017.22,1048.05,1078.87,1233.00|2046772
20FN|43|129.80,162.25,194.70,227.15,259.60,292.05,324.50,356.95,389.40,421.85,454.30,486.75,519.20,551.65,584.10,616.55,649.00,681.45,713.90,746.35,778.80,811.25,843.70,876.15,908.60,941.05,973.50,1005.95,1038.40,1070.85,1103.30,1135.75,1298.00|2154680
